name,address,rating,total_photos,total_ratings,num_of_res,coordinates
Rorschach Brewing,1001 Eastern Ave,8.7,157.0,50.0,50.0,"43.665269,-79.319796"
The Sidekick,1374 Queen St E,8.8,106.0,35.0,50.0,"43.665269,-79.319796"
Lake Inez,1471 Gerrard St E,8.9,31.0,43.0,50.0,"43.665269,-79.319796"
Udupi Palace,1460 Gerrard St E,8.6,65.0,107.0,50.0,"43.665269,-79.319796"
Godspeed Brewery,242 Coxwell Ave,8.5,206.0,61.0,50.0,"43.665269,-79.319796"
Blondies Pizza,1555 Dundas St E,8.3,13.0,17.0,50.0,"43.665269,-79.319796"
Maha's Fine Egyptian Cuisine,226 Greenwood Ave,8.5,135.0,195.0,50.0,"43.665269,-79.319796"
Lahore Tikka House,1365 Gerrard St E,8.0,206.0,282.0,50.0,"43.665269,-79.319796"
Casa Di Giorgios,1646 Queen St E,7.4,11.0,24.0,50.0,"43.665269,-79.319796"
Glory Hole Doughnuts,1505 Gerrard St E,7.8,26.0,8.0,50.0,"43.665269,-79.319796"
Gio Rana's Really Really Nice Restaurant,1220 Queen St E,7.8,48.0,77.0,50.0,"43.665269,-79.319796"
Chick-N-Joy,1483 Queen St E,6.9,4.0,20.0,50.0,"43.665269,-79.319796"
Eulalie's Corner Store,1438 Gerrard St E,7.5,13.0,16.0,50.0,"43.665269,-79.319796"
Tulip Restaurant,1606 Queen St E,6.8,70.0,68.0,50.0,"43.665269,-79.319796"
Bombay Chowpatty,1386 Gerrard St E,7.3,13.0,15.0,50.0,"43.665269,-79.319796"
Burrito Bandidos,1614 Queen St E,6.7,11.0,40.0,50.0,"43.665269,-79.319796"
Murphy's Law Irish Pub Inc,1702 Queen St E,6.8,89.0,128.0,50.0,"43.665269,-79.319796"
Lazy Daisy's Cafe,1515 Gerrard St E,6.9,85.0,70.0,50.0,"43.665269,-79.319796"
Harvey's,1641 Queen St E,6.5,8.0,15.0,50.0,"43.665269,-79.319796"
Sweet Bliss Baking Co,1304A Queen St E,6.6,7.0,17.0,50.0,"43.665269,-79.319796"
Jaclyn's,1588 Queen St E,,0.0,0.0,50.0,"43.665269,-79.319796"
McDonald's,31 Woodward Ave,5.1,26.0,50.0,50.0,"43.665269,-79.319796"
Gautama,1416 Gerrard St E,6.1,18.0,31.0,50.0,"43.665269,-79.319796"
Pizza Pizza,1771 W Lake Shore Blvd,6.1,0.0,0.0,50.0,"43.665269,-79.319796"
Maru Japanese Bistro,1402 Queen St W,,0.0,0.0,50.0,"43.665269,-79.319796"
Pizza Pizza,1252 Gerrard St E,6.1,6.0,11.0,50.0,"43.665269,-79.319796"
Mira Mira,1372 Queen St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Duke of York,1225 Queen St E,5.9,22.0,17.0,50.0,"43.665269,-79.319796"
Betty's East,1301 Queen St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Lloyd's on Queen,1298 Queen St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Jules Bistro,1219 Queen St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Maestro Omar's Gourmet Pizza,66 Kingston Rd,,0.0,0.0,50.0,"43.665269,-79.319796"
Little India Food & Cultural Walking Tour,1439 Gerrard St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Puerto Bravo,1425 Gerrard St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Indian Rasoi,1437 Gerrard St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Leela Indian Food Bar,1386 Gerrard St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Two Headed Dog,1469 Gerrard St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Pizzeria Via Mercanti,1499 Gerrard St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Wendy's,731 Eastern Ave,5.7,11.0,8.0,50.0,"43.665269,-79.319796"
TRINITY Modern Greek Taverna Bar & Lounge,1681 Lake Shore Blvd E,,0.0,0.0,50.0,"43.665269,-79.319796"
Toronto Beach Club,1681 Lake Shore Blvd E,,0.0,0.0,50.0,"43.665269,-79.319796"
Sidhartha Indian Resturaunt,1450 Gerrard St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Jinglepear Deli,245 Greenwood Ave,,0.0,0.0,50.0,"43.665269,-79.319796"
Country Thai Food & Fried Chicken,270 Coxwell Ave,,0.0,0.0,50.0,"43.665269,-79.319796"
Nodo Leslieville,1192 Queen St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Tim Hortons,969 Eastern Ave,,0.0,0.0,50.0,"43.665269,-79.319796"
Lloyd's,1298 Queen St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Queen's Steah House,1290 Queen St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Kwality Restaurant,1423 Gerrard St E,,0.0,0.0,50.0,"43.665269,-79.319796"
Dilbag Singh,1401 Gerrard St E,,0.0,0.0,50.0,"43.665269,-79.319796"
The Greater Good Bar,229 Geary Ave,9.1,53.0,59.0,33.0,"43.67142,-79.445947"
Parallel,217 Geary Ave,8.5,19.0,34.0,33.0,"43.67142,-79.445947"
Marcello's Pizzeria,1163 Saint Clair Ave W,8.9,24.0,55.0,33.0,"43.67142,-79.445947"
Rio 40 Restaurant,1256 Saint Clair Ave W,8.1,105.0,106.0,33.0,"43.67142,-79.445947"
Desotos,1079 Saint Clair Ave W,8.6,35.0,51.0,33.0,"43.67142,-79.445947"
Pizza e Pazzi,1182 Saint Clair Ave W,8.1,37.0,60.0,33.0,"43.67142,-79.445947"
La Paloma Gelateria & Cafe,1357 Saint Clair Ave W,8.0,43.0,59.0,33.0,"43.67142,-79.445947"
The Sovereign,1359 Davenport Rd,7.6,14.0,22.0,33.0,"43.67142,-79.445947"
California Sushi,1238 Saint Clair Ave W,7.8,28.0,46.0,33.0,"43.67142,-79.445947"
Boo Radleys Junction Bar N Gri,1482 Dupont Ave,7.5,31.0,45.0,33.0,"43.67142,-79.445947"
Frank's Pizza House,1352 St Clair Ave W,7.3,7.0,14.0,33.0,"43.67142,-79.445947"
Tavora Foods,1625 St Clair Ave W,7.5,1.0,15.0,33.0,"43.67142,-79.445947"
Donna’s,827 Lansdowne Ave,7.5,9.0,11.0,33.0,"43.67142,-79.445947"
Century Park Tavern,33 Powerhouse St,,0.0,0.0,33.0,"43.67142,-79.445947"
Tim Hortons,1176 St Clair Ave W,5.9,60.0,68.0,33.0,"43.67142,-79.445947"
El Sazon Mexicano,1284 St Clair Ave W,,0.0,0.0,33.0,"43.67142,-79.445947"
McDonald's,1185 Dupont St,,0.0,0.0,33.0,"43.67142,-79.445947"
Newport Fish & Seafood,181 Geary Ave,,0.0,0.0,33.0,"43.67142,-79.445947"
Casa Sonora,1165 St Clair Ave W,,0.0,0.0,33.0,"43.67142,-79.445947"
Alma + Gill,1534 Dupont St,,0.0,0.0,33.0,"43.67142,-79.445947"
Stop BBQ Chicken,1216 Dufferin St,,0.0,0.0,33.0,"43.67142,-79.445947"
Gaucho Pie Co,346 Westmoreland Ave N,,0.0,0.0,33.0,"43.67142,-79.445947"
Colombian Street Food,1565 Dupont St,,0.0,0.0,33.0,"43.67142,-79.445947"
Cano Restaurant,1108A St Clair Ave W,,0.0,0.0,33.0,"43.67142,-79.445947"
Atomic 10,145 Lauder Ave,,0.0,0.0,33.0,"43.67142,-79.445947"
Good Behaviour,342 Westmoreland Ave N,,0.0,0.0,33.0,"43.67142,-79.445947"
Fox and Fiddle,1085 Saint Clair Ave W,5.1,14.0,16.0,33.0,"43.67142,-79.445947"
Foundry Avenue,12 Foundry Ave,,0.0,0.0,33.0,"43.67142,-79.445947"
Hot Slice Pizza,1383 Davenport Rd,,0.0,0.0,33.0,"43.67142,-79.445947"
Spielhaus Board Game Cafe L.L.B.O,1187 St Clair Ave W,,0.0,0.0,33.0,"43.67142,-79.445947"
Boneyard Grill St.Clair,1216 St Clair Ave W,,0.0,0.0,33.0,"43.67142,-79.445947"
Primetime Sports Cafe,1531 Dupont St,,0.0,0.0,33.0,"43.67142,-79.445947"
Dupont BBQ Chicken,1546 Dupont St,,0.0,0.0,33.0,"43.67142,-79.445947"
Rorschach Brewing,1001 Eastern Ave,8.7,157.0,50.0,50.0,"43.666224,-79.317693"
The Sidekick,1374 Queen St E,8.8,106.0,35.0,50.0,"43.666224,-79.317693"
Lake Inez,1471 Gerrard St E,8.9,31.0,43.0,50.0,"43.666224,-79.317693"
Godspeed Brewery,242 Coxwell Ave,8.5,206.0,61.0,50.0,"43.666224,-79.317693"
Udupi Palace,1460 Gerrard St E,8.6,65.0,107.0,50.0,"43.666224,-79.317693"
Casa Di Giorgios,1646 Queen St E,7.4,11.0,24.0,50.0,"43.666224,-79.317693"
Lahore Tikka House,1365 Gerrard St E,8.0,206.0,282.0,50.0,"43.666224,-79.317693"
Glory Hole Doughnuts,1505 Gerrard St E,7.8,26.0,8.0,50.0,"43.666224,-79.317693"
Tulip Restaurant,1606 Queen St E,6.8,70.0,68.0,50.0,"43.666224,-79.317693"
Eulalie's Corner Store,1438 Gerrard St E,7.5,13.0,16.0,50.0,"43.666224,-79.317693"
Burrito Bandidos,1614 Queen St E,6.7,11.0,40.0,50.0,"43.666224,-79.317693"
Chick-N-Joy,1483 Queen St E,6.9,4.0,20.0,50.0,"43.666224,-79.317693"
Bombay Chowpatty,1386 Gerrard St E,7.3,13.0,15.0,50.0,"43.666224,-79.317693"
Murphy's Law Irish Pub Inc,1702 Queen St E,6.8,89.0,128.0,50.0,"43.666224,-79.317693"
Harvey's,1641 Queen St E,6.5,8.0,15.0,50.0,"43.666224,-79.317693"
Lazy Daisy's Cafe,1515 Gerrard St E,6.9,85.0,70.0,50.0,"43.666224,-79.317693"
Sweet Bliss Baking Co,1304A Queen St E,6.6,7.0,17.0,50.0,"43.666224,-79.317693"
Jaclyn's,1588 Queen St E,,0.0,0.0,50.0,"43.666224,-79.317693"
KFC,1364 Queen St E,5.6,2.0,7.0,50.0,"43.666224,-79.317693"
Pizza Pizza,1771 W Lake Shore Blvd,6.1,0.0,0.0,50.0,"43.666224,-79.317693"
Gautama,1416 Gerrard St E,6.1,18.0,31.0,50.0,"43.666224,-79.317693"
McDonald's,31 Woodward Ave,5.1,26.0,50.0,50.0,"43.666224,-79.317693"
Maru Japanese Bistro,1402 Queen St W,,0.0,0.0,50.0,"43.666224,-79.317693"
Maestro Omar's Gourmet Pizza,66 Kingston Rd,,0.0,0.0,50.0,"43.666224,-79.317693"
Mira Mira,1372 Queen St E,,0.0,0.0,50.0,"43.666224,-79.317693"
TRINITY Modern Greek Taverna Bar & Lounge,1681 Lake Shore Blvd E,,0.0,0.0,50.0,"43.666224,-79.317693"
Sidhartha Indian Resturaunt,1450 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Pizzeria Via Mercanti,1499 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Little India Food & Cultural Walking Tour,1439 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Two Headed Dog,1469 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Toronto Beach Club,1681 Lake Shore Blvd E,,0.0,0.0,50.0,"43.666224,-79.317693"
Puerto Bravo,1425 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Country Thai Food & Fried Chicken,270 Coxwell Ave,,0.0,0.0,50.0,"43.666224,-79.317693"
Indian Rasoi,1437 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Leela Indian Food Bar,1386 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Sauvignon Bistro & Bakery Inc,1862 Queen St E,5.6,11.0,18.0,50.0,"43.666224,-79.317693"
Betty's East,1301 Queen St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Lloyd's on Queen,1298 Queen St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Jules Bistro,1219 Queen St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Jinglepear Deli,245 Greenwood Ave,,0.0,0.0,50.0,"43.666224,-79.317693"
Tim Hortons,969 Eastern Ave,,0.0,0.0,50.0,"43.666224,-79.317693"
Toronto Beach Club,1681 Lake Shore Blvd E,,0.0,0.0,50.0,"43.666224,-79.317693"
Kwality Restaurant,1423 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
New Sunrise Restaurant,266 Coxwell Ave,,0.0,0.0,50.0,"43.666224,-79.317693"
Siddhartha,1416 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Dilbag Singh,1401 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Lahore Biryani House,1386 Gerrard St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Lions Club of Toronto,10 Ashbridges Bay Park Rd,,0.0,0.0,50.0,"43.666224,-79.317693"
Lloyd's,1298 Queen St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Queen's Steah House,1290 Queen St E,,0.0,0.0,50.0,"43.666224,-79.317693"
Gyu-Kaku BBQ,81 Church St,8.9,44.0,63.0,50.0,"43.653236,-79.376716"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,50.0,"43.653236,-79.376716"
Fahrenheit Coffee,120 Lombard St,9.0,243.0,321.0,50.0,"43.653236,-79.376716"
Terroni,57A Adelaide St E,8.6,375.0,402.0,50.0,"43.653236,-79.376716"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,50.0,"43.653236,-79.376716"
The Carbon Bar,99 Queen St E,8.1,156.0,218.0,50.0,"43.653236,-79.376716"
The George Street Diner,129 George St,8.7,168.0,173.0,50.0,"43.653236,-79.376716"
Versus Coffee,70 Adelaide St E,8.1,36.0,55.0,50.0,"43.653236,-79.376716"
Leña Restaurante,176 Yonge St,8.1,98.0,108.0,50.0,"43.653236,-79.376716"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,50.0,"43.653236,-79.376716"
Sukho Thai,52 Wellington St E,8.7,193.0,312.0,50.0,"43.653236,-79.376716"
CRAFT Beer Market Toronto,1 Adelaide St E,8.3,298.0,118.0,50.0,"43.653236,-79.376716"
Neo Coffee Bar,161 Frederick St,9.0,229.0,213.0,50.0,"43.653236,-79.376716"
Cactus Club Cafe,77 Adelaide St W,8.5,178.0,283.0,50.0,"43.653236,-79.376716"
Trattoria Mercatto,220 Yonge St,8.1,226.0,199.0,50.0,"43.653236,-79.376716"
Sunset Grill,1 Richmond St W,7.9,82.0,128.0,50.0,"43.653236,-79.376716"
Canoe Restaurant & Bar,66 Wellington St W,9.0,476.0,366.0,50.0,"43.653236,-79.376716"
The Keg Steakhouse + Bar,165 York St,8.8,273.0,368.0,50.0,"43.653236,-79.376716"
Walrus Pub & Beer Hall,187 Bay St,8.7,53.0,54.0,50.0,"43.653236,-79.376716"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,50.0,"43.653236,-79.376716"
The Keg Steakhouse + Bar,26 the Esplanade,8.7,133.0,183.0,50.0,"43.653236,-79.376716"
Chotto Matte,161 Bay St,8.8,52.0,22.0,50.0,"43.653236,-79.376716"
Chipotle Mexican Grill,323 Yonge St,8.2,248.0,365.0,50.0,"43.653236,-79.376716"
C'est What,67 Front St E,8.3,1182.0,456.0,50.0,"43.653236,-79.376716"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,50.0,"43.653236,-79.376716"
Cafe Landwer,165 University Ave,8.7,90.0,76.0,50.0,"43.653236,-79.376716"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,50.0,"43.653236,-79.376716"
Five Guys Burgers & Fries,329 Yonge St,8.1,264.0,305.0,50.0,"43.653236,-79.376716"
Salad King,340 Yonge St,8.1,513.0,732.0,50.0,"43.653236,-79.376716"
King Taps,100 King St W,8.2,121.0,90.0,50.0,"43.653236,-79.376716"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,50.0,"43.653236,-79.376716"
Gyubee Japanese Grill,157 Dundas St W,8.2,13.0,10.0,50.0,"43.653236,-79.376716"
