name,address,num_of_stations,coordinates
,,0,"43.665269,-79.319796"
,,0,"43.67142,-79.445947"
,,0,"43.666224,-79.317693"
Dundas Subway Station,300 Yonge St,6,"43.653236,-79.376716"
King Subway Station,70 Yonge St,6,"43.653236,-79.376716"
Osgoode SUBWAY Station,250 University Ave,6,"43.653236,-79.376716"
Union Subway Station,55 Front St E,6,"43.653236,-79.376716"
St Patrick Subway Station,147 University Ave,6,"43.653236,-79.376716"
St Patrick Subway Station,449 University Ave,6,"43.653236,-79.376716"
Wellesley Subway Station,551 Yonge St,4,"43.663722,-79.380288"
Dundas Subway Station,300 Yonge St,4,"43.663722,-79.380288"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.663722,-79.380288"
Queen's Park Subway Station,505 University Ave,4,"43.663722,-79.380288"
Queen's Park Subway Station,505 University Ave,5,"43.657763,-79.389165"
St Patrick Subway Station,449 University Ave,5,"43.657763,-79.389165"
Dundas Subway Station,300 Yonge St,5,"43.657763,-79.389165"
Osgoode SUBWAY Station,250 University Ave,5,"43.657763,-79.389165"
Wellesley Subway Station,551 Yonge St,5,"43.657763,-79.389165"
Dundas Subway Station,300 Yonge St,7,"43.656729,-79.382736"
St Patrick Subway Station,449 University Ave,7,"43.656729,-79.382736"
Queen's Park Subway Station,505 University Ave,7,"43.656729,-79.382736"
Osgoode SUBWAY Station,250 University Ave,7,"43.656729,-79.382736"
King Subway Station,70 Yonge St,7,"43.656729,-79.382736"
Wellesley Subway Station,551 Yonge St,7,"43.656729,-79.382736"
St Patrick Subway Station,147 University Ave,7,"43.656729,-79.382736"
Spadina Subway Station,371 Bloor St W,2,"43.664467,-79.414783"
Spadina Station North Entrance,68 Spadina Rd,2,"43.664467,-79.414783"
Rosedale Subway Station,1009 Yonge St,3,"43.675492,-79.388858"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.675492,-79.388858"
Summerhill Subway Station,1189 Yonge St,3,"43.675492,-79.388858"
Rosedale Subway Station,1009 Yonge St,5,"43.674991,-79.396273"
St. George Subway Station,323 Bloor St W,5,"43.674991,-79.396273"
Spadina Station North Entrance,68 Spadina Rd,5,"43.674991,-79.396273"
Summerhill Subway Station,1189 Yonge St,5,"43.674991,-79.396273"
Bloor-Yonge Subway Station,20 Bloor St E,5,"43.674991,-79.396273"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.671944,-79.387778"
Rosedale Subway Station,1009 Yonge St,4,"43.671944,-79.387778"
Wellesley Subway Station,551 Yonge St,4,"43.671944,-79.387778"
Sherbourne Subway Station,420 Bloor St E,4,"43.671944,-79.387778"
,,0,"43.662365,-79.351104"
Union Subway Station,55 Front St E,4,"43.646144,-79.377962"
King Subway Station,70 Yonge St,4,"43.646144,-79.377962"
St Patrick Subway Station,147 University Ave,4,"43.646144,-79.377962"
Osgoode SUBWAY Station,250 University Ave,4,"43.646144,-79.377962"
,,0,"43.663993,-79.358534"
Dundas Subway Station,300 Yonge St,2,"43.657266,-79.374756"
King Subway Station,70 Yonge St,2,"43.657266,-79.374756"
,,0,"43.6672144,-79.3452697"
,,0,"43.673939,-79.441159"
,,0,"43.657991,-79.340075"
,,0,"43.66745,-79.329408"
Donlands Subway Station,990 Danforth Ave,2,"43.672453,-79.338259"
Pape Subway Station,743 Pape Ave,2,"43.672453,-79.338259"
,,0,"43.6592088,-79.3348396"
,,0,"43.689211,-79.35438"
Dundas Subway Station,300 Yonge St,6,"43.655431,-79.380653"
St Patrick Subway Station,449 University Ave,6,"43.655431,-79.380653"
Osgoode SUBWAY Station,250 University Ave,6,"43.655431,-79.380653"
King Subway Station,70 Yonge St,6,"43.655431,-79.380653"
St Patrick Subway Station,147 University Ave,6,"43.655431,-79.380653"
Queen's Park Subway Station,505 University Ave,6,"43.655431,-79.380653"
Dundas Subway Station,300 Yonge St,5,"43.656927,-79.378497"
St Patrick Subway Station,449 University Ave,5,"43.656927,-79.378497"
King Subway Station,70 Yonge St,5,"43.656927,-79.378497"
Osgoode SUBWAY Station,250 University Ave,5,"43.656927,-79.378497"
Queen's Park Subway Station,505 University Ave,5,"43.656927,-79.378497"
Dundas West Subway Station,1525 Bloor St W,3,"43.661324,-79.449534"
Lansdowne Subway Station,1287 Bloor St W,3,"43.661324,-79.449534"
Bloor-Danforth Subway Line,,3,"43.661324,-79.449534"
Dundas Subway Station,300 Yonge St,1,"43.658295,-79.372346"
Victoria Park Subway Station,777 Victoria Park Ave,1,"43.6940155,-79.2889842"
,,0,"43.6809164,-79.4229684"
St Clair Subway Station,1441 Yonge St,1,"43.6910667,-79.39535"
,,0,"43.6975969,-79.39654"
,,0,"43.639832,-79.395954"
Spadina Subway Station,371 Bloor St W,3,"43.667158,-79.402761"
St. George Subway Station,323 Bloor St W,3,"43.667158,-79.402761"
Spadina Station North Entrance,68 Spadina Rd,3,"43.667158,-79.402761"
St. George Subway Station,323 Bloor St W,3,"43.667333,-79.399429"
Spadina Subway Station,371 Bloor St W,3,"43.667333,-79.399429"
Spadina Station North Entrance,68 Spadina Rd,3,"43.667333,-79.399429"
St Patrick Subway Station,147 University Ave,6,"43.6480008,-79.383177"
Union Subway Station,55 Front St E,6,"43.6480008,-79.383177"
Osgoode SUBWAY Station,250 University Ave,6,"43.6480008,-79.383177"
King Subway Station,70 Yonge St,6,"43.6480008,-79.383177"
St Patrick Subway Station,449 University Ave,6,"43.6480008,-79.383177"
Dundas Subway Station,300 Yonge St,6,"43.6480008,-79.383177"
St Patrick Subway Station,449 University Ave,4,"43.656518,-79.389099"
Queen's Park Subway Station,505 University Ave,4,"43.656518,-79.389099"
Osgoode SUBWAY Station,250 University Ave,4,"43.656518,-79.389099"
Dundas Subway Station,300 Yonge St,4,"43.656518,-79.389099"
Queen's Park Subway Station,505 University Ave,2,"43.658148,-79.398167"
St Patrick Subway Station,449 University Ave,2,"43.658148,-79.398167"
St Clair Subway Station,1441 Yonge St,2,"43.687999,-79.38906"
Summerhill Subway Station,1189 Yonge St,2,"43.687999,-79.38906"
,,0,"43.63796,-79.387502"
Dundas West Subway Station,1525 Bloor St W,3,"43.6563889,-79.45166666666667"
Bloor-Danforth Subway Line,,3,"43.6563889,-79.45166666666667"
Lansdowne Subway Station,1287 Bloor St W,3,"43.6563889,-79.45166666666667"
,,0,"43.639179,-79.399595"
,,0,"43.6322445,-79.4108105"
Spadina Subway Station,371 Bloor St W,4,"43.6616667,-79.40138888888889"
St. George Subway Station,323 Bloor St W,4,"43.6616667,-79.40138888888889"
Queen's Park Subway Station,505 University Ave,4,"43.6616667,-79.40138888888889"
Spadina Station North Entrance,68 Spadina Rd,4,"43.6616667,-79.40138888888889"
,,0,"43.66666667,-79.45833333333334"
Dundas West Subway Station,1525 Bloor St W,3,"43.657192,-79.452559"
Lansdowne Subway Station,1287 Bloor St W,3,"43.657192,-79.452559"
Bloor-Danforth Subway Line,,3,"43.657192,-79.452559"
,,0,"43.6576,-79.4032"
Dundas Subway Station,300 Yonge St,4,"43.660694,-79.379052"
Wellesley Subway Station,551 Yonge St,4,"43.660694,-79.379052"
Queen's Park Subway Station,505 University Ave,4,"43.660694,-79.379052"
St Patrick Subway Station,449 University Ave,4,"43.660694,-79.379052"
,,0,"43.636533,-79.395854"
Union Subway Station,55 Front St E,2,"43.640132,-79.380464"
St Patrick Subway Station,147 University Ave,2,"43.640132,-79.380464"
Dundas Subway Station,300 Yonge St,4,"43.659777,-79.382767"
Wellesley Subway Station,551 Yonge St,4,"43.659777,-79.382767"
Queen's Park Subway Station,505 University Ave,4,"43.659777,-79.382767"
St Patrick Subway Station,449 University Ave,4,"43.659777,-79.382767"
Union Subway Station,55 Front St E,4,"43.643667,-79.380414"
St Patrick Subway Station,147 University Ave,4,"43.643667,-79.380414"
King Subway Station,70 Yonge St,4,"43.643667,-79.380414"
Osgoode SUBWAY Station,250 University Ave,4,"43.643667,-79.380414"
Sherbourne Subway Station,420 Bloor St E,2,"43.666233,-79.373327"
Wellesley Subway Station,551 Yonge St,2,"43.666233,-79.373327"
,,0,"43.640114,-79.393249"
,,0,"43.6366666666667,-79.4197222222222"
,,0,"43.653766,-79.4016759"
Lansdowne Subway Station,1287 Bloor St W,3,"43.6587734,-79.443054"
Bloor-Danforth Subway Line,,3,"43.6587734,-79.443054"
Dundas West Subway Station,1525 Bloor St W,3,"43.6587734,-79.443054"
Bloor-Danforth Subway Line,,3,"43.6538888888889,-79.4413888888889"
Lansdowne Subway Station,1287 Bloor St W,3,"43.6538888888889,-79.4413888888889"
Dundas West Subway Station,1525 Bloor St W,3,"43.6538888888889,-79.4413888888889"
Bloor-Danforth Subway Line,,2,"43.6508333333333,-79.4430555555556"
Lansdowne Subway Station,1287 Bloor St W,2,"43.6508333333333,-79.4430555555556"
Bloor-Danforth Subway Line,,2,"43.651238,-79.43868"
Lansdowne Subway Station,1287 Bloor St W,2,"43.651238,-79.43868"
,,0,"43.6544915,-79.422634"
,,0,"43.6543604,-79.4655296"
,,0,"43.635932,-79.465083"
Dundas West Subway Station,1525 Bloor St W,1,"43.654501,-79.460053"
,,0,"43.637894,-79.454823"
,,0,"43.634896,-79.467763"
,,0,"43.6535269,-79.4650569"
,,0,"43.6314,-79.4304"
,,0,"43.636731,-79.444966"
Dundas West Subway Station,1525 Bloor St W,3,"43.6534268,-79.4512787"
Bloor-Danforth Subway Line,,3,"43.6534268,-79.4512787"
Lansdowne Subway Station,1287 Bloor St W,3,"43.6534268,-79.4512787"
,,0,"43.7112153,-79.39894"
St Patrick Subway Station,449 University Ave,5,"43.655227,-79.39201"
Queen's Park Subway Station,505 University Ave,5,"43.655227,-79.39201"
