name,address,yelp_rating,yelp_total_ratings,yelp_num_res,coordinates
Maha's,226 Greenwood Avenue,4.0,572.0,50.0,"43.665269,-79.319796"
The Burger's Priest,1636 Queen Street E,3.5,503.0,50.0,"43.665269,-79.319796"
Chino Locos Original,4 Greenwood Avenue,4.0,190.0,50.0,"43.665269,-79.319796"
Lahore Tikka House,1365 Gerrard Street E,3.5,542.0,50.0,"43.665269,-79.319796"
Gio Rana's Really Really Nice Restaurant,1220 Queen Street East,4.0,228.0,50.0,"43.665269,-79.319796"
Lake Inez,1471 Gerrard Street E,4.5,92.0,50.0,"43.665269,-79.319796"
Lazy Daisy's Cafe,1515 Gerrard Street E,4.0,149.0,50.0,"43.665269,-79.319796"
Udupi Palace,1460 Gerrard Street E,3.5,206.0,50.0,"43.665269,-79.319796"
The Sidekick,1374 Queen Street E,4.5,31.0,50.0,"43.665269,-79.319796"
Chick-N-Joy,1483 Queen Street E,4.0,55.0,50.0,"43.665269,-79.319796"
Hastings Snack Bar,5 Hastings Avenue,4.5,41.0,50.0,"43.665269,-79.319796"
Casa Di Giorgios,1646 Queen St E,4.0,73.0,50.0,"43.665269,-79.319796"
Tea N Bannock,1294 Gerrard Street E,4.5,44.0,50.0,"43.665269,-79.319796"
British Style Fish & Chips,73 Coxwell Avenue,4.0,51.0,50.0,"43.665269,-79.319796"
O Sushi,6 Coxwell Avenue,4.0,57.0,50.0,"43.665269,-79.319796"
Regency Restaurant,1423 Gerrard Street E,4.0,77.0,50.0,"43.665269,-79.319796"
Yaya Greek Bistro,1186 Queen Street E,4.0,82.0,50.0,"43.665269,-79.319796"
Motimahal,1422 Gerrard St E,3.5,107.0,50.0,"43.665269,-79.319796"
The Famous Indian Cuisine,1410 Gerrard Street E,4.0,65.0,50.0,"43.665269,-79.319796"
Leslie Jones,1182 Queen Street E,4.0,75.0,50.0,"43.665269,-79.319796"
Toto Sushi,1455 Gerrard Street E,4.5,29.0,50.0,"43.665269,-79.319796"
Karma's Kitchen,1411 Gerrard Street E,4.0,61.0,50.0,"43.665269,-79.319796"
Jaclyn's,1588 Queen Street E,4.5,14.0,50.0,"43.665269,-79.319796"
Flying Pony,1481 Gerrard Street E,4.0,31.0,50.0,"43.665269,-79.319796"
Burrito Bandidos,1614 Queen Street E,3.5,57.0,50.0,"43.665269,-79.319796"
Blondies,1555 Dundas Street E,4.0,52.0,50.0,"43.665269,-79.319796"
Maru Japanese Bistro,1402 Queen Street E,4.0,15.0,50.0,"43.665269,-79.319796"
Gautama,1416 Gerrard Street E,3.5,63.0,50.0,"43.665269,-79.319796"
Nodo Leslieville,1192 Queen Street East,4.0,35.0,50.0,"43.665269,-79.319796"
Bombay Chowpatty,1386 Gerrard St E,3.0,58.0,50.0,"43.665269,-79.319796"
Occasions Restaurant,30 Eastwood Road,4.0,45.0,50.0,"43.665269,-79.319796"
Leela Indian Food Bar,1386 Gerrard Street E,4.5,13.0,50.0,"43.665269,-79.319796"
Chandni Chowk Restaurant,1426 Gerrard Street E,3.5,31.0,50.0,"43.665269,-79.319796"
Le Conciliabule,1300 Gerrard Street E,4.5,12.0,50.0,"43.665269,-79.319796"
KaSpace Cafe,1183 Queen Street E,5.0,9.0,50.0,"43.665269,-79.319796"
Jules Bistro,1290 Queen St E,3.5,27.0,50.0,"43.665269,-79.319796"
Lahore Chaat & Desi Burger House,1344 Gerrard Street E,4.0,16.0,50.0,"43.665269,-79.319796"
Desi Burger,1342 Gerrard Street E,4.0,12.0,50.0,"43.665269,-79.319796"
Black Pony,1481 Gerrard Street E,4.5,8.0,50.0,"43.665269,-79.319796"
BIRDIES Fried Chicken,263 Coxwell Avenue,4.5,10.0,50.0,"43.665269,-79.319796"
McDonald's,29-31 Woodward Avenue,2.5,22.0,50.0,"43.665269,-79.319796"
The Friendly Thai,1218 Queen Street E,2.5,59.0,50.0,"43.665269,-79.319796"
Good Behaviour,1324A Gerrard Street E,4.5,6.0,50.0,"43.665269,-79.319796"
New Town Family Restaurant,266 Coxwell Ave,3.5,14.0,50.0,"43.665269,-79.319796"
Lahore BBQ Paan Center,1435 Gerrard Street E,3.5,14.0,50.0,"43.665269,-79.319796"
Shish,1225 Queen Street E,3.0,20.0,50.0,"43.665269,-79.319796"
Hakka Flame,1433 Gerrard Street E,4.0,9.0,50.0,"43.665269,-79.319796"
Queen's Head,1214 Queen Street E,2.5,33.0,50.0,"43.665269,-79.319796"
Butter Chicken Roti,1610 Queen Street E,2.5,13.0,50.0,"43.665269,-79.319796"
Maestro Omar’s Gourmet Pizza,66 Kingston Road,4.0,8.0,50.0,"43.665269,-79.319796"
Agio,1351 St Clair Avenue W,4.5,187.0,50.0,"43.67142,-79.445947"
Tre Mari Bakery,1311 Saint Clair Avenue W,4.5,92.0,50.0,"43.67142,-79.445947"
Famiglia Baldassarre,122 Geary Avenue,4.5,67.0,50.0,"43.67142,-79.445947"
Rush Hour,1438A Dufferin Street,4.5,46.0,50.0,"43.67142,-79.445947"
Parallel,217 Geary Avenue,4.0,91.0,50.0,"43.67142,-79.445947"
The Sovereign,1359 Davenport Road,4.5,35.0,50.0,"43.67142,-79.445947"
Khmer Thai Restaurant,1018 St Clair Avenue W,4.0,138.0,50.0,"43.67142,-79.445947"
Good Behaviour,342 Westmoreland Avenue N,4.5,45.0,50.0,"43.67142,-79.445947"
CANO Restaurant,1108 St Clair Avenue W,4.5,64.0,50.0,"43.67142,-79.445947"
Wallace Espresso,188 Wallace Avenue,4.5,45.0,50.0,"43.67142,-79.445947"
King's Tacos,1190 St Clair Avenue W,4.0,80.0,50.0,"43.67142,-79.445947"
Rio 40 Restaurant,1256 Saint Clair Avenue West,4.0,63.0,50.0,"43.67142,-79.445947"
Tuckshop Kitchen,1640 Dupont Street,4.5,56.0,50.0,"43.67142,-79.445947"
Itacate,998 St. Clair Avenue W,4.5,56.0,50.0,"43.67142,-79.445947"
Marcello’s pizzeria,1163 Saint Clair Avenue W,4.0,97.0,50.0,"43.67142,-79.445947"
Barista & Chef,1006 Saint Clair Avenue W,4.5,53.0,50.0,"43.67142,-79.445947"
Koji Japanese Restaurant,1553 Dupont Street,4.5,38.0,50.0,"43.67142,-79.445947"
Sushi California,1238 Saint Clair Avenue W,3.5,98.0,50.0,"43.67142,-79.445947"
Pizza e Pazzi,1182 St Clair Avenue W,4.0,87.0,50.0,"43.67142,-79.445947"
Love Chix,33 Powerhouse Street,3.5,46.0,50.0,"43.67142,-79.445947"
Frank’s Pizza House,1352 St Clair Avenue W,3.5,99.0,50.0,"43.67142,-79.445947"
Lox + Schmear,1030 St Clair W,4.5,40.0,50.0,"43.67142,-79.445947"
DeSotos Eatery,1079 St Clair Avenue West,4.0,82.0,50.0,"43.67142,-79.445947"
North Of Brooklyn,229 Geary Avenue,4.0,41.0,50.0,"43.67142,-79.445947"
Mattachioni,1617 Dupont Street,4.0,45.0,50.0,"43.67142,-79.445947"
Sunnyside Grill,1218 Saint Clair Avenue W,3.5,56.0,50.0,"43.67142,-79.445947"
La Bruschetta Restaurant,1317 St Clair Avenue West,4.0,38.0,50.0,"43.67142,-79.445947"
Thai Lime,1551 Dupont Street,3.5,96.0,50.0,"43.67142,-79.445947"
Brasa Peruvian Kitchen,297 Campbell Avenue,5.0,9.0,50.0,"43.67142,-79.445947"
Pho Lang Van,958 Saint Clair Avenue W,4.0,56.0,50.0,"43.67142,-79.445947"
Atomic 10,145 Lauder Ave,4.5,23.0,50.0,"43.67142,-79.445947"
Donna's,827 Lansdowne Avenue,4.5,25.0,50.0,"43.67142,-79.445947"
Kaito Sushi,1211 St Clair Ave W,4.0,31.0,50.0,"43.67142,-79.445947"
Piri Piri Grill,1444 Dupont Street,3.5,52.0,50.0,"43.67142,-79.445947"
Cantanhede O Bairradino,662 Lansdowne Avenue,4.0,40.0,50.0,"43.67142,-79.445947"
Boo Radley's Junction Bar and Grill,1482 Dupont Street,3.5,46.0,50.0,"43.67142,-79.445947"
Royal Caribbean Cafe,1127 St Clair Ave W,4.0,28.0,50.0,"43.67142,-79.445947"
Dairy Freeze,1601 St Clair Avenue W,3.0,72.0,50.0,"43.67142,-79.445947"
Tenoch Restaurant,933 Saint Clair Avenue W,3.5,66.0,50.0,"43.67142,-79.445947"
Boom Breakfast & Company,1036 St Clair Ave W,3.0,94.0,50.0,"43.67142,-79.445947"
