name,address,rating,total_photos,total_ratings,coordinates
Rorschach Brewing,1001 Eastern Ave,8.7,157.0,50.0,"43.665269,-79.319796"
The Sidekick,1374 Queen St E,8.8,106.0,35.0,"43.665269,-79.319796"
Lake Inez,1471 Gerrard St E,8.9,31.0,43.0,"43.665269,-79.319796"
Udupi Palace,1460 Gerrard St E,8.6,65.0,107.0,"43.665269,-79.319796"
Godspeed Brewery,242 Coxwell Ave,8.5,206.0,61.0,"43.665269,-79.319796"
Blondies Pizza,1555 Dundas St E,8.3,13.0,17.0,"43.665269,-79.319796"
Maha's Fine Egyptian Cuisine,226 Greenwood Ave,8.5,134.0,195.0,"43.665269,-79.319796"
Lahore Tikka House,1365 Gerrard St E,8.0,206.0,282.0,"43.665269,-79.319796"
Casa Di Giorgios,1646 Queen St E,7.4,11.0,24.0,"43.665269,-79.319796"
Glory Hole Doughnuts,1505 Gerrard St E,7.8,26.0,8.0,"43.665269,-79.319796"
The Greater Good Bar,229 Geary Ave,9.1,53.0,59.0,"43.67142,-79.445947"
Parallel,217 Geary Ave,8.5,19.0,34.0,"43.67142,-79.445947"
Marcello's Pizzeria,1163 Saint Clair Ave W,8.9,24.0,55.0,"43.67142,-79.445947"
Rio 40 Restaurant,1256 Saint Clair Ave W,8.1,105.0,106.0,"43.67142,-79.445947"
Desotos,1079 Saint Clair Ave W,8.6,35.0,51.0,"43.67142,-79.445947"
Pizza e Pazzi,1182 Saint Clair Ave W,8.1,37.0,60.0,"43.67142,-79.445947"
La Paloma Gelateria & Cafe,1357 Saint Clair Ave W,8.0,43.0,59.0,"43.67142,-79.445947"
The Sovereign,1359 Davenport Rd,7.6,14.0,22.0,"43.67142,-79.445947"
California Sushi,1238 Saint Clair Ave W,7.8,28.0,46.0,"43.67142,-79.445947"
Boo Radleys Junction Bar N Gri,1482 Dupont Ave,7.5,31.0,45.0,"43.67142,-79.445947"
Rorschach Brewing,1001 Eastern Ave,8.7,157.0,50.0,"43.666224,-79.317693"
The Sidekick,1374 Queen St E,8.8,106.0,35.0,"43.666224,-79.317693"
Lake Inez,1471 Gerrard St E,8.9,31.0,43.0,"43.666224,-79.317693"
Godspeed Brewery,242 Coxwell Ave,8.5,206.0,61.0,"43.666224,-79.317693"
Udupi Palace,1460 Gerrard St E,8.6,65.0,107.0,"43.666224,-79.317693"
Casa Di Giorgios,1646 Queen St E,7.4,11.0,24.0,"43.666224,-79.317693"
Lahore Tikka House,1365 Gerrard St E,8.0,206.0,282.0,"43.666224,-79.317693"
Glory Hole Doughnuts,1505 Gerrard St E,7.8,26.0,8.0,"43.666224,-79.317693"
Tulip Restaurant,1606 Queen St E,6.8,70.0,68.0,"43.666224,-79.317693"
Eulalie's Corner Store,1438 Gerrard St E,7.5,13.0,16.0,"43.666224,-79.317693"
Gyu-Kaku BBQ,81 Church St,8.9,44.0,63.0,"43.653236,-79.376716"
Richmond Station,1 Richmond St W,9.1,301.0,369.0,"43.653236,-79.376716"
Fahrenheit Coffee,120 Lombard St,9.0,243.0,321.0,"43.653236,-79.376716"
Terroni,57A Adelaide St E,8.6,375.0,402.0,"43.653236,-79.376716"
Dineen Coffee Co,140 Yonge St,8.7,488.0,634.0,"43.653236,-79.376716"
The Carbon Bar,99 Queen St E,8.1,156.0,218.0,"43.653236,-79.376716"
The George Street Diner,129 George St,8.7,168.0,173.0,"43.653236,-79.376716"
Versus Coffee,70 Adelaide St E,8.1,36.0,55.0,"43.653236,-79.376716"
Leña Restaurante,176 Yonge St,8.1,98.0,108.0,"43.653236,-79.376716"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,"43.653236,-79.376716"
Hair of the Dog,425 Church St,8.5,257.0,271.0,"43.663722,-79.380288"
Storm Crow Manor,580 Church St,9.0,85.0,48.0,"43.663722,-79.380288"
Woody's,467 Church St,8.1,311.0,263.0,"43.663722,-79.380288"
The Keg Steakhouse & Bar,515 Jarvis St,8.9,249.0,308.0,"43.663722,-79.380288"
Kinka Izakaya,398 Church St,8.6,634.0,577.0,"43.663722,-79.380288"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.663722,-79.380288"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,"43.663722,-79.380288"
Zakkushi,193 Carlton St,8.8,234.0,165.0,"43.663722,-79.380288"
Nando's Peri-Peri,832 Bay St,8.2,150.0,247.0,"43.663722,-79.380288"
Piedmont Coffee Bar,66 Isabella St,8.2,12.0,12.0,"43.663722,-79.380288"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,"43.657763,-79.389165"
The Library Specialty Coffee,281 Dundas St W,8.9,53.0,41.0,"43.657763,-79.389165"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,"43.657763,-79.389165"
Mercatto,101 College St,8.2,46.0,82.0,"43.657763,-79.389165"
Gallery Sushi,275 Dundas St W,8.4,25.0,17.0,"43.657763,-79.389165"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,"43.657763,-79.389165"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,"43.657763,-79.389165"
Sansotei Ramen,179 Dundas St W,8.2,337.0,292.0,"43.657763,-79.389165"
