name,address,yelp_rating,yelp_total_ratings,coordinates
Maha's,226 Greenwood Avenue,4.0,572.0,"43.665269,-79.319796"
The Burger's Priest,1636 Queen Street E,3.5,503.0,"43.665269,-79.319796"
Chino Locos Original,4 Greenwood Avenue,4.0,190.0,"43.665269,-79.319796"
Lahore Tikka House,1365 Gerrard Street E,3.5,542.0,"43.665269,-79.319796"
Gio Rana's Really Really Nice Restaurant,1220 Queen Street East,4.0,228.0,"43.665269,-79.319796"
Lake Inez,1471 Gerrard Street E,4.5,92.0,"43.665269,-79.319796"
Lazy Daisy's Cafe,1515 Gerrard Street E,4.0,149.0,"43.665269,-79.319796"
Udupi Palace,1460 Gerrard Street E,3.5,206.0,"43.665269,-79.319796"
The Sidekick,1374 Queen Street E,4.5,31.0,"43.665269,-79.319796"
Chick-N-Joy,1483 Queen Street E,4.0,55.0,"43.665269,-79.319796"
Hastings Snack Bar,5 Hastings Avenue,4.5,41.0,"43.665269,-79.319796"
Casa Di Giorgios,1646 Queen St E,4.0,73.0,"43.665269,-79.319796"
Tea N Bannock,1294 Gerrard Street E,4.5,44.0,"43.665269,-79.319796"
British Style Fish & Chips,73 Coxwell Avenue,4.0,51.0,"43.665269,-79.319796"
O Sushi,6 Coxwell Avenue,4.0,57.0,"43.665269,-79.319796"
Regency Restaurant,1423 Gerrard Street E,4.0,77.0,"43.665269,-79.319796"
Yaya Greek Bistro,1186 Queen Street E,4.0,82.0,"43.665269,-79.319796"
Motimahal,1422 Gerrard St E,3.5,107.0,"43.665269,-79.319796"
The Famous Indian Cuisine,1410 Gerrard Street E,4.0,65.0,"43.665269,-79.319796"
Leslie Jones,1182 Queen Street E,4.0,75.0,"43.665269,-79.319796"
Agio,1351 St Clair Avenue W,4.5,187.0,"43.67142,-79.445947"
Tre Mari Bakery,1311 Saint Clair Avenue W,4.5,92.0,"43.67142,-79.445947"
Famiglia Baldassarre,122 Geary Avenue,4.5,67.0,"43.67142,-79.445947"
Rush Hour,1438A Dufferin Street,4.5,46.0,"43.67142,-79.445947"
Parallel,217 Geary Avenue,4.0,91.0,"43.67142,-79.445947"
The Sovereign,1359 Davenport Road,4.5,35.0,"43.67142,-79.445947"
Khmer Thai Restaurant,1018 St Clair Avenue W,4.0,138.0,"43.67142,-79.445947"
Good Behaviour,342 Westmoreland Avenue N,4.5,45.0,"43.67142,-79.445947"
CANO Restaurant,1108 St Clair Avenue W,4.5,64.0,"43.67142,-79.445947"
Wallace Espresso,188 Wallace Avenue,4.5,45.0,"43.67142,-79.445947"
King's Tacos,1190 St Clair Avenue W,4.0,79.0,"43.67142,-79.445947"
Rio 40 Restaurant,1256 Saint Clair Avenue West,4.0,63.0,"43.67142,-79.445947"
Tuckshop Kitchen,1640 Dupont Street,4.5,56.0,"43.67142,-79.445947"
Itacate,998 St. Clair Avenue W,4.5,56.0,"43.67142,-79.445947"
Marcello’s pizzeria,1163 Saint Clair Avenue W,4.0,97.0,"43.67142,-79.445947"
Barista & Chef,1006 Saint Clair Avenue W,4.5,53.0,"43.67142,-79.445947"
Koji Japanese Restaurant,1553 Dupont Street,4.5,38.0,"43.67142,-79.445947"
Sushi California,1238 Saint Clair Avenue W,3.5,98.0,"43.67142,-79.445947"
Pizza e Pazzi,1182 St Clair Avenue W,4.0,87.0,"43.67142,-79.445947"
Love Chix,33 Powerhouse Street,3.5,46.0,"43.67142,-79.445947"
The Burger's Priest,1636 Queen Street E,3.5,503.0,"43.666224,-79.317693"
Maha's,226 Greenwood Avenue,4.0,572.0,"43.666224,-79.317693"
Lahore Tikka House,1365 Gerrard Street E,3.5,542.0,"43.666224,-79.317693"
Chino Locos Original,4 Greenwood Avenue,4.0,190.0,"43.666224,-79.317693"
Lake Inez,1471 Gerrard Street E,4.5,92.0,"43.666224,-79.317693"
Lazy Daisy's Cafe,1515 Gerrard Street E,4.0,149.0,"43.666224,-79.317693"
Udupi Palace,1460 Gerrard Street E,3.5,206.0,"43.666224,-79.317693"
Casa Di Giorgios,1646 Queen St E,4.0,73.0,"43.666224,-79.317693"
O Sushi,6 Coxwell Avenue,4.0,57.0,"43.666224,-79.317693"
British Style Fish & Chips,73 Coxwell Avenue,4.0,51.0,"43.666224,-79.317693"
The Sidekick,1374 Queen Street E,4.5,31.0,"43.666224,-79.317693"
Chick-N-Joy,1483 Queen Street E,4.0,55.0,"43.666224,-79.317693"
Regency Restaurant,1423 Gerrard Street E,4.0,77.0,"43.666224,-79.317693"
Tea N Bannock,1294 Gerrard Street E,4.5,44.0,"43.666224,-79.317693"
Hastings Snack Bar,5 Hastings Avenue,4.5,41.0,"43.666224,-79.317693"
Motimahal,1422 Gerrard St E,3.5,107.0,"43.666224,-79.317693"
The Famous Indian Cuisine,1410 Gerrard Street E,4.0,65.0,"43.666224,-79.317693"
Toto Sushi,1455 Gerrard Street E,4.5,29.0,"43.666224,-79.317693"
Jaclyn's,1588 Queen Street E,4.5,14.0,"43.666224,-79.317693"
Burrito Bandidos,1614 Queen Street E,3.5,57.0,"43.666224,-79.317693"
Richmond Station,1 Richmond Street W,4.5,866.0,"43.653236,-79.376716"
Pai Northern Thai Kitchen,18 Duncan Street,4.5,3338.0,"43.653236,-79.376716"
Pearl Diver,100 Adelaide Street E,4.0,619.0,"43.653236,-79.376716"
Blaze Pizza,10 Dundas St. East,4.5,581.0,"43.653236,-79.376716"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,"43.653236,-79.376716"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,883.0,"43.653236,-79.376716"
Eggspectation,483 Bay Street,4.0,750.0,"43.653236,-79.376716"
Mystic Muffin,113 Jarvis Street,4.5,290.0,"43.653236,-79.376716"
George Restaurant,111 Queen Street E,4.5,292.0,"43.653236,-79.376716"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,"43.653236,-79.376716"
Beerbistro,18 King Street E,4.0,679.0,"43.653236,-79.376716"
The Carbon Bar,99 Queen Street East,4.0,407.0,"43.653236,-79.376716"
Byblos,11 Duncan Street,4.5,890.0,"43.653236,-79.376716"
The Senator,249 Victoria Street,4.0,489.0,"43.653236,-79.376716"
Canoe,66 Wellington Street  W,4.0,734.0,"43.653236,-79.376716"
Katsuya,66 Gerrard Street E,4.5,477.0,"43.653236,-79.376716"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,"43.653236,-79.376716"
Sap,401 Bay Street,3.5,550.0,"43.653236,-79.376716"
The Poke Box,36 Toronto Street,4.5,176.0,"43.653236,-79.376716"
Terroni,57A Adelaide Street E,3.5,771.0,"43.653236,-79.376716"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,"43.663722,-79.380288"
Katsuya,66 Gerrard Street E,4.5,477.0,"43.663722,-79.380288"
Kintaro Izakaya,459 Church Street,4.0,231.0,"43.663722,-79.380288"
Blaze Pizza,10 Dundas St. East,4.5,581.0,"43.663722,-79.380288"
Banh Mi Boys,399 Yonge Street,4.0,509.0,"43.663722,-79.380288"
The Keg Steakhouse + Bar,515 Jarvis Street,4.0,365.0,"43.663722,-79.380288"
Hair of the Dog,425 Church Street,4.0,362.0,"43.663722,-79.380288"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,"43.663722,-79.380288"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,883.0,"43.663722,-79.380288"
Riddle Room,579 Yonge Street,4.5,185.0,"43.663722,-79.380288"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,"43.663722,-79.380288"
Si Lom Thai Bistro,534 Church Street,4.0,193.0,"43.663722,-79.380288"
Tinuno,31 Howard Street,4.0,619.0,"43.663722,-79.380288"
Salad King Restaurant,340 Yonge Street,3.5,1013.0,"43.663722,-79.380288"
Como En Casa,565 Yonge Street,4.0,241.0,"43.663722,-79.380288"
KINTON RAMEN,396 Church Street,4.0,226.0,"43.663722,-79.380288"
Wow Sushi,11 Charles Street,4.0,424.0,"43.663722,-79.380288"
The Senator,249 Victoria Street,4.0,489.0,"43.663722,-79.380288"
Zakkushi On Carlton,193 Carlton Street,4.0,324.0,"43.663722,-79.380288"
Fabarnak Community Cafe and Catering,519 Church Street,4.0,127.0,"43.663722,-79.380288"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,"43.657763,-79.389165"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,"43.657763,-79.389165"
Seven Lives Tacos y Mariscos,72 Kensington Avenue,4.5,1457.0,"43.657763,-79.389165"
Blaze Pizza,10 Dundas St. East,4.5,581.0,"43.657763,-79.389165"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,"43.657763,-79.389165"
Richmond Station,1 Richmond Street W,4.5,866.0,"43.657763,-79.389165"
Manpuku Japanese Eatery,105 McCaul Street,4.0,512.0,"43.657763,-79.389165"
Banh Mi Boys,392 Queen Street W,4.5,1236.0,"43.657763,-79.389165"
Banh Mi Boys,399 Yonge Street,4.0,509.0,"43.657763,-79.389165"
Eggspectation,483 Bay Street,4.0,750.0,"43.657763,-79.389165"
Poke Guys,112 Elizabeth Street,4.0,372.0,"43.657763,-79.389165"
Katsuya,66 Gerrard Street E,4.5,477.0,"43.657763,-79.389165"
Japango,122 Elizabeth Street,3.5,712.0,"43.657763,-79.389165"
JaBistro,222 Richmond Street W,4.0,580.0,"43.657763,-79.389165"
Juicy Dumpling,280 Spadina Ave,4.5,592.0,"43.657763,-79.389165"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,883.0,"43.657763,-79.389165"
Karine's,109 McCaul Street,4.0,251.0,"43.657763,-79.389165"
Koh Lipe,35 Baldwin Street,4.0,239.0,"43.657763,-79.389165"
Salad King Restaurant,340 Yonge Street,3.5,1013.0,"43.657763,-79.389165"
Ikkousha Ramen,249 Queen Street W,4.5,283.0,"43.657763,-79.389165"
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1791.0,"43.656729,-79.382736"
Pai Northern Thai Kitchen,18 Duncan Street,4.5,3338.0,"43.656729,-79.382736"
Blaze Pizza,10 Dundas St. East,4.5,581.0,"43.656729,-79.382736"
Sansotei Ramen,179 Dundas Street W,4.0,932.0,"43.656729,-79.382736"
GB Hand-pulled Noodles,66 Edward Street,4.0,571.0,"43.656729,-79.382736"
Richmond Station,1 Richmond Street W,4.5,866.0,"43.656729,-79.382736"
Eggspectation,483 Bay Street,4.0,750.0,"43.656729,-79.382736"
Banh Mi Boys,399 Yonge Street,4.0,509.0,"43.656729,-79.382736"
Katsuya,66 Gerrard Street E,4.5,477.0,"43.656729,-79.382736"
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,883.0,"43.656729,-79.382736"
Salad King Restaurant,340 Yonge Street,3.5,1013.0,"43.656729,-79.382736"
Poke Guys,112 Elizabeth Street,4.0,372.0,"43.656729,-79.382736"
JOEY Eaton Centre,1 Dundas St W,3.5,528.0,"43.656729,-79.382736"
The Senator,249 Victoria Street,4.0,489.0,"43.656729,-79.382736"
The Queen And Beaver Public House,35 Elm Street,4.0,405.0,"43.656729,-79.382736"
Japango,122 Elizabeth Street,3.5,712.0,"43.656729,-79.382736"
Pearl Diver,100 Adelaide Street E,4.0,619.0,"43.656729,-79.382736"
Barberian's Steak House,7 Elm Street,4.0,309.0,"43.656729,-79.382736"
JaBistro,222 Richmond Street W,4.0,580.0,"43.656729,-79.382736"
Manpuku Japanese Eatery,105 McCaul Street,4.0,512.0,"43.656729,-79.382736"
Insomnia Restaurant & Lounge,563 Bloor Street W,4.0,1008.0,"43.664467,-79.414783"
Hodo Kwaja,656 Bloor Street W,4.5,240.0,"43.664467,-79.414783"
Buk Chang Dong Soon Tofu,691 Bloor Street W,4.0,477.0,"43.664467,-79.414783"
Korean Village Restaurant,628 Bloor Street W,4.0,402.0,"43.664467,-79.414783"
KINKA IZAKAYA ANNEX,559 Bloor St W,4.0,500.0,"43.664467,-79.414783"
Rustle & Still Café,605 Bloor Street W,4.5,150.0,"43.664467,-79.414783"
Snakes & Lattes Annex,600 Bloor Street W,4.0,355.0,"43.664467,-79.414783"
Yasu,81 Harbord Street,4.5,415.0,"43.664467,-79.414783"
Ramen Isshin,421 College Street,4.5,794.0,"43.664467,-79.414783"
Yummy Korean Food Restaurant,620 Bloor Street W,4.0,270.0,"43.664467,-79.414783"
Tofu Village - House of Soon Tofu,681 Bloor Street W,4.0,202.0,"43.664467,-79.414783"
Jin Dal Lae,647 Bloor Street W,4.5,110.0,"43.664467,-79.414783"
Rasa,196 Robert Street,4.5,317.0,"43.664467,-79.414783"
Tacos El Asador,689 Bloor Street W,4.0,323.0,"43.664467,-79.414783"
Kevin's Taiyaki,675 Bloor Street,4.5,78.0,"43.664467,-79.414783"
Barrio Coreano,642 Bloor Street W,3.5,247.0,"43.664467,-79.414783"
